epoch,Mid_center,Nose,Tail_base,loss,lr,val_Mid_center,val_Nose,val_Tail_base,val_loss
0,0.0033570434898138046,0.004015846643596888,0.004188196267932653,0.003853696631267667,1e-04,0.002205010037869215,0.0027994834817945957,0.0036790601443499327,0.0028945179656147957
1,0.0024711918085813522,0.002419769996777177,0.0029440089128911495,0.0026116573717445135,1e-04,0.0022230122704058886,0.001190556795336306,0.001967528834939003,0.0017936995718628168
2,0.0017421526135876775,0.0013404951896518469,0.0017010995652526617,0.0015945818740874529,1e-04,0.0013706516474485397,0.0008586894837208092,0.0012764589628204703,0.0011686001671478152
3,0.0012043056776747108,0.0010579322697594762,0.0012438504491001368,0.0011686963262036443,1e-04,0.0023735915310680866,0.0007299272110685706,0.0012619206681847572,0.0014551468193531036
4,0.0009178812615573406,0.000892127281986177,0.0010116894263774157,0.000940566009376198,1e-04,0.0014093730133026838,0.0006958725280128419,0.0009741905960254371,0.0010264788288623095
