Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_18_55_10,Exp_social,133.53333333333333,139.93333333333334,4006,4197,6.4
0428_18_55_10,Exp_social,141.96666666666667,143.63333333333333,4259,4308,1.6666666666666667
0428_18_55_10,Exp_social,145.73333333333332,146.8,4372,4403,1.0666666666666667
0428_18_55_10,Exp_social,150.6,151.1,4518,4532,0.5
0428_18_55_10,Exp_social,156.53333333333333,157.26666666666668,4696,4717,0.7333333333333333
0428_18_55_10,Exp_social,164.7,165.43333333333334,4941,4962,0.7333333333333333
0428_18_55_10,Exp_social,178.4,179.2,5352,5375,0.8
0428_18_55_10,Exp_social,220.26666666666668,221.16666666666666,6608,6634,0.9
0428_18_55_10,Exp_social,284.3666666666667,286.03333333333336,8531,8580,1.6666666666666667
0428_18_55_10,Exp_social,430.3666666666667,433.7,12911,13010,3.3333333333333335
0428_18_55_10,Exp_social,482.23333333333335,483.26666666666665,14467,14497,1.0333333333333334
0428_18_55_10,Exp_social,566.6333333333333,567.3333333333334,16999,17019,0.7
0428_18_55_10,Exp_social,569.0666666666667,569.5666666666667,17072,17086,0.5
0428_18_55_10,Exp_social,587.4333333333333,587.9666666666667,17623,17638,0.5333333333333333
0428_18_55_10,Exp_social,592.2,593.3666666666667,17766,17800,1.1666666666666667
0428_18_55_10,Exp_withdraw,11.166666666666666,11.766666666666667,335,352,0.6
0428_18_55_10,Exp_withdraw,26.066666666666666,27.666666666666668,782,829,1.6
0428_18_55_10,Exp_withdraw,50.766666666666666,51.3,1523,1538,0.5333333333333333
0428_18_55_10,Exp_withdraw,129.76666666666668,130.76666666666668,3893,3922,1.0
0428_18_55_10,Exp_withdraw,132.6,133.13333333333333,3978,3993,0.5333333333333333
0428_18_55_10,Exp_withdraw,174.93333333333334,175.36666666666667,5248,5260,0.43333333333333335
0428_18_55_10,Exp_withdraw,176.4,177.66666666666666,5292,5329,1.2666666666666666
0428_18_55_10,Exp_withdraw,183.23333333333332,184.8,5497,5543,1.5666666666666667
0428_18_55_10,Exp_withdraw,266.03333333333336,268.3666666666667,7981,8050,2.3333333333333335
