Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,Start,Not defined,POINT,96.100,96.100,NA,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2883,2883,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,100.333,123.567,23.234,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,3010,3707,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,126.333,131.600,5.267,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,3790,3948,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,134.467,141.567,7.100,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,4034,4247,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,143.967,147.567,3.600,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,4319,4427,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,148.300,150.167,1.867,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,4449,4505,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,151.167,161.033,9.866,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,4535,4831,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,164.167,165.567,1.400,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,4925,4967,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,172.067,174.067,2.000,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,5162,5222,,,,
WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,2026-04-25 20:51:40.301,,Media file,player #1:WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,0.0,586.333,705.467,30.000,No focal subject,106.032,E: E-I-social behavior,prosocial behavior,STATE,185.167,186.433,1.266,WIN_20250428_21_33_38_Pro_adj - Made with Clipchamp.mp4,5555,5593,,,short simultaenously,
