Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_18_55_10,Passive,50.36666666666667,51.7,1511,1550,1.3333333333333333
0428_18_55_10,Passive,80.73333333333333,82.7,2422,2480,1.9666666666666666
0428_18_55_10,Passive,164.13333333333333,165.0,4924,4949,0.8666666666666667
0428_18_55_10,Social,10.033333333333333,19.0,301,569,8.966666666666667
0428_18_55_10,Social,116.36666666666666,117.33333333333333,3491,3519,0.9666666666666667
0428_18_55_10,Social,134.7,149.73333333333332,4041,4491,15.033333333333333
0428_18_55_10,Social,155.03333333333333,158.03333333333333,4651,4740,3.0
0428_18_55_10,Social,173.36666666666667,175.7,5201,5270,2.3333333333333335
0428_18_55_10,Social,181.43333333333334,182.83333333333334,5443,5484,1.4
0428_18_55_10,Social,183.73333333333332,185.9,5512,5576,2.1666666666666665
0428_18_55_10,Social,220.56666666666666,221.2,6617,6635,0.6333333333333333
0428_18_55_10,Social,266.03333333333336,267.1666666666667,7981,8014,1.1333333333333333
0428_18_55_10,Social,284.1666666666667,285.06666666666666,8525,8551,0.9
0428_18_55_10,Social,299.56666666666666,302.43333333333334,8987,9072,2.8666666666666667
0428_18_55_10,Social,322.3333333333333,323.73333333333335,9670,9711,1.4
0428_18_55_10,Social,350.2,350.8,10506,10523,0.6
0428_18_55_10,Social,361.3333333333333,361.8333333333333,10840,10854,0.5
0428_18_55_10,Social,363.9,365.03333333333336,10917,10950,1.1333333333333333
0428_18_55_10,Social,375.2,378.3,11256,11348,3.1
0428_18_55_10,Social,417.6666666666667,418.4,12530,12551,0.7333333333333333
0428_18_55_10,Social,419.53333333333336,420.1666666666667,12586,12604,0.6333333333333333
0428_18_55_10,Social,420.6666666666667,421.7,12620,12650,1.0333333333333334
0428_18_55_10,Social,427.1333333333333,435.1666666666667,12814,13054,8.033333333333333
0428_18_55_10,Social,436.2,436.8,13086,13103,0.6
0428_18_55_10,Social,445.03333333333336,447.56666666666666,13351,13426,2.533333333333333
0428_18_55_10,Social,462.5,463.4,13875,13901,0.9
0428_18_55_10,Social,481.96666666666664,483.4,14459,14501,1.4333333333333333
0428_18_55_10,Social,495.73333333333335,496.26666666666665,14872,14887,0.5333333333333333
0428_18_55_10,Social,509.96666666666664,511.03333333333336,15299,15330,1.0666666666666667
0428_18_55_10,Social,519.7333333333333,520.4,15592,15611,0.6666666666666666
0428_18_55_10,Social,561.5,562.7333333333333,16845,16881,1.2333333333333334
0428_18_55_10,Social,563.7333333333333,567.3666666666667,16912,17020,3.6333333333333333
0428_18_55_10,Social,568.9666666666667,569.5666666666667,17069,17086,0.6
0428_18_55_10,Social,588.0666666666667,588.5666666666667,17642,17656,0.5
0428_18_55_10,Social,592.1666666666666,593.3666666666667,17765,17800,1.2
0428_18_55_10,Freeze,2.7,5.0,81,149,2.3
0428_18_55_10,Freeze,6.066666666666666,8.366666666666667,182,250,2.3
0428_18_55_10,Freeze,31.366666666666667,35.36666666666667,941,1060,4.0
0428_18_55_10,Freeze,37.03333333333333,40.36666666666667,1111,1210,3.3333333333333335
0428_18_55_10,Freeze,50.36666666666667,70.03333333333333,1511,2100,19.666666666666668
0428_18_55_10,Freeze,77.7,85.36666666666666,2331,2560,7.666666666666667
0428_18_55_10,Freeze,111.03333333333333,114.03333333333333,3331,3420,3.0
0428_18_55_10,Freeze,127.36666666666666,134.7,3821,4040,7.333333333333333
0428_18_55_10,Freeze,175.7,180.0,5271,5399,4.3
0428_18_55_10,Freeze,363.06666666666666,364.3,10892,10928,1.2333333333333334
0428_18_55_10,Freeze,405.73333333333335,407.2,12172,12215,1.4666666666666666
0428_18_55_10,Freeze,416.03333333333336,417.6666666666667,12481,12529,1.6333333333333333
0428_18_55_10,Freeze,422.4,425.1,12672,12752,2.7
0428_18_55_10,Freeze,426.03333333333336,427.1333333333333,12781,12813,1.1
0428_18_55_10,Freeze,463.2,464.3333333333333,13896,13929,1.1333333333333333
0428_18_55_10,Freeze,465.3,465.9,13959,13976,0.6
0428_18_55_10,Freeze,497.3333333333333,498.8666666666667,14920,14965,1.5333333333333334
0428_18_55_10,Freeze,515.7333333333333,519.7333333333333,15472,15591,4.0
0428_18_55_10,Freeze,520.6333333333333,521.3,15619,15638,0.6666666666666666
0428_18_55_10,Freeze,524.1333333333333,525.4,15724,15761,1.2666666666666666
0428_18_55_10,Freeze,533.9,534.6666666666666,16017,16039,0.7666666666666667
0428_18_55_10,Freeze,546.4666666666667,547.1,16394,16412,0.6333333333333333
0428_18_55_10,Freeze,559.6,561.0666666666667,16788,16831,1.4666666666666666
0428_18_55_10,Freeze,564.4666666666667,565.1666666666666,16934,16954,0.7
0428_18_55_10,Freeze,582.6333333333333,588.0333333333333,17479,17640,5.4
0428_18_55_10,Freeze,588.6666666666666,592.1666666666666,17660,17764,3.5
0428_18_55_10,Freeze,596.8333333333334,597.4,17905,17921,0.5666666666666667
0428_19_12_12,Social,9.366666666666667,41.4,281,1241,32.03333333333333
0428_19_12_12,Social,44.7,56.7,1341,1700,12.0
0428_19_12_12,Social,58.03333333333333,61.63333333333333,1741,1848,3.6
0428_19_12_12,Social,85.03333333333333,87.03333333333333,2551,2610,2.0
0428_19_12_12,Social,96.36666666666666,98.66666666666667,2891,2959,2.3
0428_19_12_12,Social,106.33333333333333,107.36666666666666,3190,3220,1.0333333333333334
0428_19_12_12,Social,124.03333333333333,126.1,3721,3782,2.066666666666667
0428_19_12_12,Social,139.36666666666667,140.7,4181,4220,1.3333333333333333
0428_19_12_12,Social,162.03333333333333,164.03333333333333,4861,4920,2.0
0428_19_12_12,Social,184.06666666666666,185.13333333333333,5522,5553,1.0666666666666667
0428_19_12_12,Social,195.0,195.93333333333334,5850,5877,0.9333333333333333
0428_19_12_12,Social,200.16666666666666,200.9,6005,6026,0.7333333333333333
0428_19_12_12,Social,201.63333333333333,203.7,6049,6110,2.066666666666667
0428_19_12_12,Social,210.93333333333334,211.53333333333333,6328,6345,0.6
0428_19_12_12,Social,222.8,227.86666666666667,6684,6835,5.066666666666666
0428_19_12_12,Social,264.3666666666667,264.8666666666667,7931,7945,0.5
0428_19_12_12,Social,271.53333333333336,272.3,8146,8168,0.7666666666666667
0428_19_12_12,Social,289.93333333333334,291.6,8698,8747,1.6666666666666667
0428_19_12_12,Social,295.93333333333334,296.46666666666664,8878,8893,0.5333333333333333
0428_19_12_12,Social,299.5,300.4,8985,9011,0.9
0428_19_12_12,Social,323.6,338.56666666666666,9708,10156,14.966666666666667
0428_19_12_12,Social,343.1333333333333,345.1,10294,10352,1.9666666666666666
0428_19_12_12,Social,371.5,372.8666666666667,11145,11185,1.3666666666666667
0428_19_12_12,Social,390.1666666666667,391.1666666666667,11705,11734,1.0
0428_19_12_12,Social,392.9,393.4,11787,11801,0.5
0428_19_12_12,Social,400.8,406.1666666666667,12024,12184,5.366666666666666
0428_19_12_12,Social,412.93333333333334,414.93333333333334,12388,12447,2.0
0428_19_12_12,Social,432.06666666666666,432.9,12962,12986,0.8333333333333334
0428_19_12_12,Social,441.56666666666666,442.96666666666664,13247,13288,1.4
0428_19_12_12,Social,448.8,450.56666666666666,13464,13516,1.7666666666666666
0428_19_12_12,Social,459.53333333333336,460.93333333333334,13786,13827,1.4
0428_19_12_12,Social,471.1333333333333,473.46666666666664,14134,14203,2.3333333333333335
0428_19_12_12,Social,474.2,475.8,14226,14273,1.6
0428_19_12_12,Social,481.8666666666667,485.56666666666666,14456,14566,3.7
0428_19_12_12,Social,486.6333333333333,487.3333333333333,14599,14619,0.7
