Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: E-I-social behavior,prosocial behavior,STATE,84.033,84.633,0.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2521,2539,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: E-I-freezing/no response,social avoidance,STATE,85.300,87.067,1.767,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2559,2612,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: E-I-social behavior,prosocial behavior,STATE,94.900,96.500,1.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2847,2895,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-avoidance,social avoidance,STATE,131.433,131.767,0.334,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,3943,3953,,,startle response!,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-freezing/no response,social avoidance,STATE,131.867,133.533,1.666,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,3956,4006,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-freezing/no response,social avoidance,STATE,139.033,144.067,5.034,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4171,4322,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-freezing/no response,social avoidance,STATE,144.667,147.667,3.000,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4340,4430,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: E-I-social behavior,prosocial behavior,STATE,161.667,162.167,0.500,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4850,4865,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-freezing/no response,social avoidance,STATE,164.167,169.933,5.766,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4925,5098,,,"The intruder was just passively passing by, which triggered the immobility reaction of the experiment mouse",
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,102.498,E: I-E-freezing/no response,social avoidance,STATE,173.433,179.800,6.367,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,5203,5394,,,,
