Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_18_55_10,Exp_social,13.4,14.133333333333333,402,423,0.7333333333333333
0428_18_55_10,Exp_social,131.6,132.43333333333334,3948,3972,0.8333333333333334
0428_18_55_10,Exp_social,133.4,138.83333333333334,4002,4164,5.433333333333334
0428_18_55_10,Exp_social,139.43333333333334,139.93333333333334,4183,4197,0.5
0428_18_55_10,Exp_social,141.56666666666666,143.73333333333332,4247,4311,2.1666666666666665
0428_18_55_10,Exp_social,148.66666666666666,149.23333333333332,4460,4476,0.5666666666666667
0428_18_55_10,Exp_social,150.33333333333334,151.16666666666666,4510,4534,0.8333333333333334
0428_18_55_10,Exp_social,156.53333333333333,158.16666666666666,4696,4744,1.6333333333333333
0428_18_55_10,Exp_social,164.7,165.36666666666667,4941,4960,0.6666666666666666
0428_18_55_10,Exp_social,175.4,176.1,5262,5282,0.7
0428_18_55_10,Exp_social,177.66666666666666,179.2,5330,5375,1.5333333333333334
0428_18_55_10,Exp_social,181.53333333333333,182.26666666666668,5446,5467,0.7333333333333333
0428_18_55_10,Exp_social,220.56666666666666,221.16666666666666,6617,6634,0.6
0428_18_55_10,Exp_social,284.3666666666667,286.03333333333336,8531,8580,1.6666666666666667
0428_18_55_10,Exp_social,361.03333333333336,362.7,10831,10880,1.6666666666666667
0428_18_55_10,Exp_social,375.03333333333336,377.03333333333336,11251,11310,2.0
0428_18_55_10,Exp_social,430.3666666666667,433.7,12911,13010,3.3333333333333335
0428_18_55_10,Exp_social,447.3666666666667,447.8666666666667,13421,13435,0.5
0428_18_55_10,Exp_social,482.06666666666666,483.26666666666665,14462,14497,1.2
0428_18_55_10,Exp_social,519.5333333333333,520.2666666666667,15586,15607,0.7333333333333333
0428_18_55_10,Exp_social,566.5666666666667,567.3333333333334,16997,17019,0.7666666666666667
0428_18_55_10,Exp_social,569.0333333333333,569.5666666666667,17071,17086,0.5333333333333333
0428_18_55_10,Exp_social,587.4,588.3,17622,17648,0.9
0428_18_55_10,Exp_social,589.1,589.6333333333333,17673,17688,0.5333333333333333
0428_18_55_10,Exp_social,592.1666666666666,593.3666666666667,17765,17800,1.2
0428_18_55_10,Exp_withdraw,11.166666666666666,11.766666666666667,335,352,0.6
0428_18_55_10,Exp_withdraw,26.066666666666666,27.666666666666668,782,829,1.6
0428_18_55_10,Exp_withdraw,50.766666666666666,51.3,1523,1538,0.5333333333333333
0428_18_55_10,Exp_withdraw,129.76666666666668,130.76666666666668,3893,3922,1.0
0428_18_55_10,Exp_withdraw,132.6,133.13333333333333,3978,3993,0.5333333333333333
