Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,187.933,191.700,3.767,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,5638,5751,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,195.367,196.700,1.333,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,5861,5901,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-freezing/no response,social avoidance,STATE,196.767,199.067,2.300,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,5903,5972,,,withdrawal,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,209.233,210.100,0.867,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,6277,6303,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,209.267,210.567,1.300,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,6278,6317,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-freezing/no response,social avoidance,STATE,217.267,218.600,1.333,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,6518,6558,,,withdrawal,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,220.700,222.467,1.767,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,6621,6674,,,"too short, can be ignored",
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,232.467,233.433,0.966,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,6974,7003,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-freezing/no response,social avoidance,STATE,238.300,240.433,2.133,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,7149,7213,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,238.633,240.367,1.734,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,7159,7211,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,246.133,247.200,1.067,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,7384,7416,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,251.300,252.100,0.800,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,7539,7563,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,273.267,273.600,0.333,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,8198,8208,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,273.433,275.300,1.867,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,8203,8259,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,286.267,288.333,2.066,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,8588,8650,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,304.367,306.900,2.533,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,9131,9207,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,304.633,306.933,2.300,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,9139,9208,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,327.933,328.333,0.400,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,9838,9850,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,334.633,336.667,2.034,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10039,10100,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,337.400,338.100,0.700,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10122,10143,,,,
