Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,357.633,359.133,1.500,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,10729,10774,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,394.000,400.900,6.900,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,11820,12027,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,407.667,410.400,2.733,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,12230,12312,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,431.867,432.733,0.866,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,12956,12982,,,simultaneously social,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: I-E-social behavior,prosocial behavior,STATE,448.500,448.700,0.200,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,13455,13461,,,simultaneously social,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,459.267,461.033,1.766,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,13778,13831,,,simultaneously social,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,490.000,490.200,0.200,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,14700,14706,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,510.100,510.367,0.267,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,15303,15311,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,527.233,527.400,0.167,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,15817,15822,,,simultaneously social,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,542.033,544.933,2.900,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,16261,16348,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,596.667,605.900,9.233,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,17900,18177,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,610.500,611.200,0.700,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,18315,18336,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,612.100,627.667,15.567,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,18363,18830,,,short simultaneously social in between,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,629.633,634.133,4.500,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,18889,19024,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,685.667,687.567,1.900,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,20570,20627,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,708.900,709.933,1.033,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,21267,21298,,,,
