Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0120_16_29_51,Exp_freeze,0.0,3.033333333333333,0,90,3.033333333333333
0120_16_29_51,Exp_freeze,5.533333333333333,8.633333333333333,166,258,3.1
0120_16_29_51,Exp_freeze,533.5,535.3,16005,16058,1.8
0120_16_29_51,Exp_freeze,597.9333333333333,599.3,17938,17978,1.3666666666666667
0120_16_29_51,Exp_approach,11.033333333333333,12.033333333333333,331,360,1.0
0120_16_29_51,Exp_approach,90.06666666666666,91.03333333333333,2702,2730,0.9666666666666667
0120_16_29_51,Exp_approach,126.03333333333333,127.0,3781,3809,0.9666666666666667
0120_16_29_51,Exp_approach,172.03333333333333,173.03333333333333,5161,5190,1.0
0120_16_29_51,Exp_approach,219.66666666666666,220.23333333333332,6590,6606,0.5666666666666667
0120_16_29_51,Exp_approach,600.8333333333334,601.8,18025,18053,0.9666666666666667
0120_16_29_51,Int_approach,48.03333333333333,49.03333333333333,1441,1470,1.0
0120_16_29_51,Exp_social,12.033333333333333,46.03333333333333,361,1380,34.0
0120_16_29_51,Exp_social,49.03333333333333,84.06666666666666,1471,2521,35.03333333333333
0120_16_29_51,Exp_social,90.53333333333333,114.0,2716,3419,23.466666666666665
0120_16_29_51,Exp_social,115.56666666666666,118.26666666666667,3467,3547,2.7
0120_16_29_51,Exp_social,127.03333333333333,170.03333333333333,3811,5100,43.0
0120_16_29_51,Exp_social,173.03333333333333,177.73333333333332,5191,5331,4.7
0120_16_29_51,Exp_social,183.2,190.8,5496,5723,7.6
0120_16_29_51,Exp_social,192.13333333333333,193.23333333333332,5764,5796,1.1
0120_16_29_51,Exp_social,194.9,197.96666666666667,5847,5938,3.066666666666667
0120_16_29_51,Exp_social,200.9,208.06666666666666,6027,6241,7.166666666666667
0120_16_29_51,Exp_social,211.03333333333333,215.43333333333334,6331,6462,4.4
0120_16_29_51,Exp_social,220.43333333333334,230.73333333333332,6613,6921,10.3
0120_16_29_51,Exp_social,233.46666666666667,235.46666666666667,7004,7063,2.0
0120_16_29_51,Exp_social,238.9,248.73333333333332,7167,7461,9.833333333333334
0120_16_29_51,Exp_social,249.93333333333334,259.3333333333333,7498,7779,9.4
0120_16_29_51,Exp_social,260.3666666666667,265.43333333333334,7811,7962,5.066666666666666
0120_16_29_51,Exp_social,266.5,270.43333333333334,7995,8112,3.933333333333333
0120_16_29_51,Exp_social,272.53333333333336,274.8,8176,8243,2.2666666666666666
0120_16_29_51,Exp_social,279.56666666666666,280.6,8387,8417,1.0333333333333334
0120_16_29_51,Exp_social,281.6666666666667,289.3666666666667,8450,8680,7.7
0120_16_29_51,Exp_social,294.73333333333335,305.5,8842,9164,10.766666666666667
0120_16_29_51,Exp_social,307.26666666666665,312.3,9218,9368,5.033333333333333
0120_16_29_51,Exp_social,313.3333333333333,315.1333333333333,9400,9453,1.8
0120_16_29_51,Exp_social,316.6666666666667,320.26666666666665,9500,9607,3.6
0120_16_29_51,Exp_social,321.4,337.43333333333334,9642,10122,16.033333333333335
0120_16_29_51,Exp_social,342.73333333333335,354.1666666666667,10282,10624,11.433333333333334
0120_16_29_51,Exp_social,355.9,357.76666666666665,10677,10732,1.8666666666666667
0120_16_29_51,Exp_social,359.4,360.93333333333334,10782,10827,1.5333333333333334
0120_16_29_51,Exp_social,364.8,368.73333333333335,10944,11061,3.933333333333333
0120_16_29_51,Exp_social,386.3333333333333,392.03333333333336,11590,11760,5.7
0120_16_29_51,Exp_social,393.3333333333333,403.76666666666665,11800,12112,10.433333333333334
0120_16_29_51,Exp_social,408.9,413.5,12267,12404,4.6
0120_16_29_51,Exp_social,416.73333333333335,429.53333333333336,12502,12885,12.8
0120_16_29_51,Exp_social,437.03333333333336,443.8,13111,13313,6.766666666666667
0120_16_29_51,Exp_social,446.23333333333335,464.06666666666666,13387,13921,17.833333333333332
0120_16_29_51,Exp_social,467.93333333333334,469.1666666666667,14038,14074,1.2333333333333334
0120_16_29_51,Exp_social,470.7,473.46666666666664,14121,14203,2.7666666666666666
0120_16_29_51,Exp_social,477.3333333333333,481.4,14320,14441,4.066666666666666
0120_16_29_51,Exp_social,482.4,490.3,14472,14708,7.9
0120_16_29_51,Exp_social,493.8,504.26666666666665,14814,15127,10.466666666666667
0120_16_29_51,Exp_social,507.3,508.3333333333333,15219,15249,1.0333333333333334
0120_16_29_51,Exp_social,511.43333333333334,516.5,15343,15494,5.066666666666666
0120_16_29_51,Exp_social,518.9333333333333,528.6666666666666,15568,15859,9.733333333333333
0120_16_29_51,Exp_social,536.1666666666666,538.4333333333333,16085,16152,2.2666666666666666
0120_16_29_51,Exp_social,544.5333333333333,548.4666666666667,16336,16453,3.933333333333333
0120_16_29_51,Exp_social,550.7333333333333,557.5666666666667,16522,16726,6.833333333333333
0120_16_29_51,Exp_social,559.0,569.4666666666667,16770,17083,10.466666666666667
0120_16_29_51,Exp_social,571.3,573.6666666666666,17139,17209,2.3666666666666667
0120_16_29_51,Exp_social,579.3666666666667,584.6,17381,17537,5.233333333333333
0120_16_29_51,Exp_social,586.5,590.0333333333333,17595,17700,3.533333333333333
0428_20_23_51,Exp_freeze,200.86666666666667,203.8,6026,6113,2.933333333333333
0428_20_23_51,Exp_freeze,212.5,213.63333333333333,6375,6408,1.1333333333333333
0428_20_23_51,Exp_freeze,224.03333333333333,225.16666666666666,6721,6754,1.1333333333333333
0428_20_23_51,Exp_freeze,243.53333333333333,245.9,7306,7376,2.3666666666666667
0428_20_23_51,Exp_freeze,404.56666666666666,406.8333333333333,12137,12204,2.2666666666666666
0428_20_23_51,Exp_freeze,421.3333333333333,423.06666666666666,12640,12691,1.7333333333333334
0428_20_23_51,Exp_freeze,435.6666666666667,439.4,13070,13181,3.7333333333333334
0428_20_23_51,Exp_freeze,447.93333333333334,449.9,13438,13496,1.9666666666666666
0428_20_23_51,Exp_freeze,454.53333333333336,457.2,13636,13715,2.6666666666666665
