track,frame_idx,instance.score,Nose.x,Nose.y,Nose.score,Mid-center.x,Mid-center.y,Mid-center.score,Tail-base.x,Tail-base.y,Tail-base.score
track_0,0,1.0,,,1.0,1396.5208740234375,648.439208984375,1.0,1468.978759765625,592.6468505859375,1.0
track_1,0,1.0,,,1.0,1104.5675048828125,652.6814575195312,1.0,1020.4786987304688,672.2684936523438,1.0
track_0,1,1.0,,,1.0,1384.7957087521168,633.5923359633035,1.0,1474.1823646898629,602.9033017637496,1.0
track_1,1,1.0,,,1.0,1096.8583686245545,629.5125742967707,1.0,1033.0049014526114,696.0025630601111,1.0
track_0,2,1.0,,,1.0,1383.1535903004806,630.2692280924239,1.0,1473.1149023894052,604.9387014336946,1.0
track_1,2,1.0,,,1.0,1090.7991988369886,628.3003980495478,1.0,1037.1161530974946,699.9533032179287,1.0
track_0,3,1.0,,,1.0,1383.1229254278005,631.3108987927217,1.0,1472.1519755023608,604.3679960716565,1.0
track_1,3,1.0,,,1.0,1086.32413242028,628.6856721540071,1.0,1040.677018845912,702.2733666219585,1.0
track_0,4,1.0,,,1.0,1382.8342348304286,628.3299821225728,1.0,1472.4268210212254,605.8877592943788,1.0
track_1,4,1.0,,,1.0,1084.1908873623406,629.1332524405723,1.0,1042.9079548927557,704.0537371836515,1.0
track_0,5,1.0,,,1.0,1382.4357145259437,629.5889553684489,1.0,1471.8704433526248,605.1794270432597,1.0
track_1,5,1.0,,,1.0,1085.1433370134478,629.2812581025056,1.0,1043.3748784610432,705.6454585375142,1.0
track_0,6,1.0,,,1.0,1381.5212167105256,626.9042309391531,1.0,1472.2683928750562,606.585409296851,1.0
track_1,6,1.0,,,1.0,1090.148972222462,629.5860958490105,1.0,1041.6094333460198,707.5354489897583,1.0
track_0,7,1.0,,,1.0,1382.0064957043178,628.3915296330814,1.0,1471.7434263251753,605.769221210858,1.0
track_1,7,1.0,,,1.0,1090.31353846774,632.8734037462009,1.0,1042.4124446840317,708.4085627672222,1.0
track_0,8,1.0,,,1.0,1381.1135429512087,626.1310460121118,1.0,1472.0471935015391,607.0409880571844,1.0
track_1,8,1.0,,,1.0,1094.0524526026252,633.4054550148446,1.0,1040.9696558208966,710.3253833254479,1.0
track_0,9,1.0,,,1.0,1381.7792687591646,628.223072010032,1.0,1471.566397139027,605.9756572662765,1.0
track_1,9,1.0,,,1.0,1092.6980923756498,637.0920730304485,1.0,1042.2900017141624,711.3751160998656,1.0
track_0,10,1.0,,,1.0,1381.0811340079404,626.7818757077433,1.0,1471.7188796593762,606.9291932327118,1.0
