Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,100.333,101.367,1.034,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,3010,3041,,,mutual sniffing,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,102.433,103.100,0.667,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,3073,3093,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-freezing/no response,social avoidance,STATE,103.267,104.567,1.300,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,3098,3137,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,129.500,132.233,2.733,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,3885,3967,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,153.000,154.300,1.300,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,4590,4629,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,156.333,156.700,0.367,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,4690,4701,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-freezing/no response,social avoidance,STATE,156.867,160.400,3.533,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,4706,4812,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,174.167,178.767,4.600,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,5225,5363,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,195.633,197.267,1.634,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,5869,5918,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,210.767,211.033,0.266,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,6323,6331,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-freezing/no response,social avoidance,STATE,211.000,213.100,2.100,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,6330,6393,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,214.900,215.267,0.367,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,6447,6458,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,232.400,234.900,2.500,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,6972,7047,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,258.133,259.233,1.100,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,7744,7777,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,270.367,272.667,2.300,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,8111,8180,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,276.967,277.367,0.400,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,8309,8321,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,306.200,306.567,0.367,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,9186,9197,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,315.333,316.267,0.934,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,9460,9488,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-freezing/no response,social avoidance,STATE,341.933,342.867,0.934,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,10258,10286,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: I-E-social behavior,prosocial behavior,STATE,343.367,344.000,0.633,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,10301,10320,,,,
WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,2026-04-23 19:28:05.155,,Media file,player #1:WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,0.0,463.300,702.233,30.000,No focal subject,39.334,E: E-I-social behavior,prosocial behavior,STATE,346.633,346.833,0.200,WIN_20250428_20_48_07_Pro_adj - Made with Clipchamp.mp4,10399,10405,,,,
