epoch,Ear_left,Ear_right,Mid_center,Mid_left,Mid_right,Nose,Tail_base,Tail_tip,loss,lr,val_Ear_left,val_Ear_right,val_Mid_center,val_Mid_left,val_Mid_right,val_Nose,val_Tail_base,val_Tail_tip,val_loss
0,0.0014040616806596518,0.0013977151829749346,0.0012885606847703457,0.0014135193778201938,0.001414766302332282,0.001417937339283526,0.0014129051705822349,0.0008316425373777747,0.0013226388255134225,1e-04,0.0013890836853533983,0.001348690944723785,0.0012250867439433932,0.0013929430861026049,0.0013817527797073126,0.0013894218718633056,0.0013813941041007638,0.00065357715357095,0.001270243781618774
1,0.0013096906477585435,0.0012754667550325394,0.0010099966311827302,0.0013474790612235665,0.0013355391565710306,0.0012759940000250936,0.0013290120987221599,0.0007995212799869478,0.0012103376211598516,1e-04,0.0013370616361498833,0.001216545351780951,0.0012888095807284117,0.0013267099857330322,0.0013698034454137087,0.001249752240255475,0.001288465573452413,0.0006565551157109439,0.00121671287342906
2,0.0010758917778730392,0.0010614232160151005,0.0009613769361749291,0.0012941038003191352,0.0012773557100445032,0.0009846576722338796,0.0011740417685359716,0.0008192959357984364,0.0010810182429850101,1e-04,0.0011351060820743442,0.0012215232709422708,0.0012111268006265163,0.0013417316367849708,0.0014703089836984873,0.001069221063517034,0.001168791321106255,0.0006872600642964244,0.0011631336528807878
3,0.0008376170881092548,0.0008132610819302499,0.0009176069870591164,0.001241157646290958,0.0012006419710814953,0.0008088507456704974,0.000922019244171679,0.0008463233825750649,0.0009484346956014633,1e-04,0.0009399782284162939,0.0009604865917935967,0.0011458881199359894,0.0012714127078652382,0.00129320181440562,0.0010413526324555278,0.0010747371707111597,0.0006849603378213942,0.001051502302289009
4,0.0007628447492606938,0.0007663198630325496,0.0008944462751969695,0.0010989198926836252,0.001071585458703339,0.0007623526616953313,0.0008361541549675167,0.000795438070781529,0.0008735076989978552,1e-04,0.001014121575281024,0.0009480466833338141,0.0012637512991204858,0.0013679832918569446,0.0013644640566781163,0.0009378007962368429,0.0010725349420681596,0.0006579718901775777,0.001078334404155612
